Loan Sanction Amount (USD),Gender,Age,Income (USD),Income Stability,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Co-Applicant
54607.18,F,56,1933.05,Low,Semi-Urban,72809.58,241.08,3,809.44,0,NA,1
37469.98,M,32,4952.91,Low,Semi-Urban,46837.47,495.81,1,780.4,0,Unpossessed,1
36474.43,F,65,988.19,High,Semi-Urban,45593.04,171.95,1,833.15,0,Unpossessed,0
56040.54,F,65,NA,High,Rural,80057.92,298.54,2,832.7,1,Unpossessed,1
74008.28,F,31,2614.77,Low,Semi-Urban,113858.89,491.41,NA,745.55,1,Active,1
22382.57,F,60,1234.92,Low,Rural,34434.72,181.48,2,684.12,1,Inactive,1
168218.24,F,45,NA,Low,Semi-Urban,240311.77,807.64,2,812.26,0,Active,1
22842.29,F,38,1296.07,Low,Rural,35141.99,155.95,3,705.29,1,Active,1
16747.72,M,18,2416.86,Low,Semi-Urban,25765.72,140.02,1,652.41,0,Active,1
67256.42,F,48,777.25,Low,Semi-Urban,96080.6,342.33,3,764.11,0,Active,1
34225.84,F,43,997.25,Low,Rural,48894.06,178.06,1,726.28,0,NA,1
54336.71,M,61,1664.52,Low,Semi-Urban,72448.95,398.88,2,781.51,0,Active,1
75716.93,F,54,3716.54,Low,Rural,116487.58,521.23,4,749.33,1,Active,1
67117.49,M,64,2346.88,Low,Rural,89489.99,327.14,1,803.04,0,Active,1
46597.14,M,65,1523.03,High,Semi-Urban,66567.35,299.53,3,862.33,0,Unpossessed,0
73391.87,F,41,1837.17,Low,Rural,112910.57,422.61,NA,722.74,0,Inactive,1
40467.06,F,19,2889.94,Low,Rural,57810.08,264.92,2,787.74,0,Inactive,1
84367.95,F,24,2538.85,Low,Rural,120525.64,552.77,3,721.27,1,Inactive,1
28576.13,F,63,700.07,High,Semi-Urban,38101.51,240.38,2,860.88,0,Unpossessed,1
164339.54,M,29,3880.49,Low,Urban,234770.77,636.65,5,767.85,0,Active,1
24156.78,F,32,2478.54,Low,Semi-Urban,30195.97,225.64,1,NA,0,Active,1
60149.1,F,18,NA,Low,Semi-Urban,85927.28,217.19,NA,688.21,0,NA,1
14002.4,F,28,2474.33,Low,Semi-Urban,17503,144.82,3,855.97,1,Unpossessed,1
24917.1,F,18,1220.16,NA,Semi-Urban,35595.86,153.25,3,706.08,0,Unpossessed,1
121365,F,61,5302.28,Low,Rural,186715.38,527.81,1,748.38,0,Active,1
11951.27,F,18,2368.34,Low,Semi-Urban,18386.57,219.7,2,672.32,0,Unpossessed,1
85374.45,M,18,7885.56,Low,Urban,121963.5,587.8,1,721.18,1,Unpossessed,1
42465.96,M,30,4096.07,Low,Semi-Urban,65332.24,334.81,3,707.3,0,Inactive,1
100148.86,F,54,5330.72,Low,Semi-Urban,133531.81,535.77,1,861.21,1,Active,1
68116.39,M,37,2680.38,Low,Semi-Urban,85145.49,618.52,1,855.18,0,Inactive,1
32543.96,M,51,3384.91,Low,Semi-Urban,40679.95,340.44,2,799.57,1,Active,1
27194.25,F,18,1694.53,Low,Rural,41837.3,286.68,3,747.21,1,Inactive,1
44690.65,M,54,1871.92,Low,Semi-Urban,55863.31,318.76,NA,797.47,0,Active,1
56680.77,F,44,1761.15,Low,Semi-Urban,75574.36,355.11,1,755.48,0,Inactive,1
111325.75,M,64,2478.3,Low,Semi-Urban,171270.39,560.47,3,733.67,0,Unpossessed,1
116626.79,M,59,NA,Low,Semi-Urban,155502.39,502.13,NA,855.39,1,Unpossessed,1
57181.49,F,62,1282.74,Low,Semi-Urban,71476.86,334.91,4,775.55,0,Active,1
35259.11,F,39,1822.63,Low,Semi-Urban,47012.15,238.11,1,757.22,0,Unpossessed,1
119385.07,M,61,3104,Low,Semi-Urban,159180.09,669.51,2,842.99,0,Inactive,1
64994.98,F,31,NA,Low,Rural,99992.27,702.57,2,745.91,0,Active,1
40765.8,M,43,5445.6,Low,Semi-Urban,58236.85,435.07,2,718.89,0,Inactive,1
130130.37,F,33,3175.91,Low,Urban,185900.53,699.92,3,681.16,1,Unpossessed,1
33982.59,F,58,1633.88,Low,Semi-Urban,48546.56,238.55,2,774.67,0,Inactive,1
59224.34,F,25,1224.99,Low,Rural,84606.2,427.1,4,705.62,0,Unpossessed,1
68108.91,M,51,1993.49,NA,Rural,97298.45,275.74,2,801.23,0,Active,-999
28101.06,F,43,NA,Low,Semi-Urban,43232.4,203.58,2,725.78,0,Unpossessed,1
30557.21,M,65,1047.12,High,Semi-Urban,40742.95,169.31,2,821.87,0,Unpossessed,0
68366.7,F,28,1972,Low,Rural,97666.72,356.08,2,796.03,0,Inactive,1
163197.84,M,65,3865.02,High,Semi-Urban,217597.12,658.92,2,797.55,1,Inactive,1
21975.42,F,18,NA,Low,Semi-Urban,27469.27,138.28,4,812.36,0,Inactive,1
21974.78,F,43,1794.1,Low,Rural,33807.36,240.32,4,723.8,0,Active,1
65225.31,M,54,2814.48,Low,Urban,100346.63,427.31,3,742.45,0,Inactive,1
46228.83,M,24,1580.38,Low,Semi-Urban,66041.19,325.89,4,717.92,0,Active,1
18667.57,F,55,2700.12,Low,Semi-Urban,24890.1,141.45,2,757.67,0,NA,1
43011.97,M,50,NA,Low,Semi-Urban,61445.67,316.61,NA,710.12,0,Active,1
51953.75,M,50,2476.71,Low,Semi-Urban,79928.84,336.88,2,678,0,Unpossessed,1
41935.45,F,18,2760.03,Low,Semi-Urban,64516.08,322.2,1,682.6,1,Unpossessed,1
31572.11,F,62,1519.67,High,Semi-Urban,45103.02,450.18,1,854.18,0,Unpossessed,1
26085.65,M,48,2590.89,Low,Semi-Urban,32607.06,293,NA,801.62,0,Inactive,1
29725.7,F,56,1589.8,Low,Rural,42465.29,294.29,2,729.66,1,Active,1
114175.39,M,30,3967.09,Low,Semi-Urban,175654.45,730.28,NA,718.28,1,Active,1
45132.47,M,22,2178.86,Low,Semi-Urban,60176.63,282.93,1,813.17,0,Inactive,1
42012.51,M,37,1332.42,Low,Semi-Urban,60017.87,475.42,1,728.29,0,Active,1
89330.29,F,63,3516.53,Low,Semi-Urban,111662.86,670.31,1,822.91,0,Unpossessed,1
193769.26,F,61,NA,High,Urban,258359.02,938.59,3,791.54,0,Active,1
12477.32,M,22,1206.34,Low,Rural,19195.88,97.75,2,669.13,0,Inactive,1
87300.47,M,53,2000.87,Low,Semi-Urban,124714.96,631.2,2,675.33,0,Inactive,1
16073.32,M,48,979.49,Low,Semi-Urban,24728.19,137.78,3,710.2,0,Inactive,1
86844.28,F,51,6060.9,Low,Urban,102169.74,738.55,3,851.94,1,Inactive,1
21637.82,F,18,NA,Low,Semi-Urban,30911.17,152.44,3,NA,0,NA,1
60839.25,F,40,NA,Low,Urban,76049.06,341.29,2,760.05,0,Inactive,1
21982.95,M,18,1532,Low,Semi-Urban,33819.92,170.24,4,682.04,0,Unpossessed,-999
25551.09,F,56,1894.11,Low,Semi-Urban,36501.56,219.55,2,854.27,1,Inactive,1
24094.15,M,65,6446.85,High,Semi-Urban,37067.92,197.19,1,717.87,0,Active,0
19504.4,F,35,3537.39,Low,Semi-Urban,27863.43,127.96,2,687.21,0,NA,1
72457.74,F,65,1356.3,High,Rural,90572.18,327.39,2,781.35,0,Active,1
13185.21,F,58,1565.69,Low,Rural,20284.94,179.39,1,660.75,1,Unpossessed,1
24823.12,M,44,NA,Low,Semi-Urban,38189.42,133.77,2,658.54,0,NA,1
5130.35,M,63,1028.41,High,Semi-Urban,6840.47,66.86,1,770.26,0,Inactive,0
69576.6,F,18,3214.48,Low,Semi-Urban,107040.92,589.89,NA,681.92,0,Inactive,1
130048.34,M,56,NA,Low,Semi-Urban,200074.37,562.02,4,733.89,1,Active,1
